"indicator","area_name","area_code","area_type","year","period","numerator","measure","lower_confidence_interval","upper_confidence_interval","definition","data_source"
"Life expectancy, females","Dowanhill","S02001957","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.49,80.59,84.39,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kelvinside & Jordanhill","S02001958","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,87.18,85.13,89.22,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Broomhill","S02001959","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.15,82.16,86.13,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Victoria Park","S02001960","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,88.07,85.66,90.47,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Whiteinch","S02001961","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.09,76.86,83.33,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Scotstoun North & East","S02001962","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.8,81.62,85.98,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Scotstoun South & West","S02001963","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.16,75.12,81.2,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Yoker South","S02001964","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.95,76.08,81.83,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Yoker North","S02001965","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,75.43,72.06,78.8,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Knightswood West","S02001966","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,77.18,72.72,81.65,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Knightswood East","S02001967","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.32,76.54,82.11,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Knightswood Park West","S02001968","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.53,75.86,81.21,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Knightswood Park East","S02001969","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.69,79.62,85.75,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Anniesland East","S02001970","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.91,80.3,85.53,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Anniesland West","S02001971","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.79,77.31,80.28,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Blairdardie East","S02001972","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.26,77.17,81.34,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Blairdardie West","S02001973","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.47,81.2,85.74,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Drumchapel South","S02001974","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,73.11,69.94,76.27,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Drumchapel North","S02001975","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,75.8,72.66,78.94,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Drumry East","S02001976","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,74.46,71.9,77.01,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Drumry West","S02001977","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,77.14,74.24,80.04,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lochaber West","S02001978","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.13,82.09,86.18,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fort William North","S02001979","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.93,76.47,81.38,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fort William South","S02001980","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.3,78.38,82.21,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lochaber East & North","S02001981","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.41,81.21,85.62,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Badenoch & Strathspey South","S02001982","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,86.05,84.24,87.87,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Badenoch & Strathspey Central","S02001983","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.79,82.43,87.14,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Badenoch & Strathspey North","S02001984","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.63,83.03,86.23,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Nairn Rural","S02001985","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,86.51,85.32,87.7,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Nairn East","S02001986","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.36,75.42,81.3,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Nairn West","S02001987","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.32,77.02,83.63,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness East Rural","S02001988","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.69,80.76,84.63,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Culloden & Balloch","S02001989","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.67,81.09,86.26,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Smithton","S02001990","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.26,80.92,87.6,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Westhill","S02001991","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.18,80.14,84.22,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Inshes","S02001992","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,88.51,85.83,91.2,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Lochardil & Holm Mains","S02001994","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.97,82.09,85.85,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Drummond","S02001995","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.58,81.69,87.48,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Hilton","S02001996","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.78,79.02,84.54,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Drakies","S02001997","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.22,81.78,88.65,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Central, Raigmore & Longman","S02001998","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.17,77.33,83,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Crown & Haugh","S02001999","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.3,77.59,83,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Ballifeary & Dalneigh","S02002000","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.37,78.18,82.57,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Muirtown","S02002001","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.21,76.5,81.91,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Merkinch","S02002002","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,75.95,73.12,78.77,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Scorguie","S02002003","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.76,77.73,83.79,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness Kinmylies & South West","S02002004","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.1,80.08,86.11,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverness West Rural","S02002005","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.25,83.37,87.13,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Loch Ness","S02002006","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.31,81.72,86.9,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lochalsh","S02002007","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.28,80.92,85.63,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Skye South","S02002008","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.48,81.04,85.93,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Skye North East","S02002009","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.94,79.61,84.26,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Skye North West","S02002010","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.45,82.68,86.21,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ross & Cromarty South West","S02002011","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.59,79.89,87.29,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ross & Cromarty North West","S02002012","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.21,81.41,85.02,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ross & Cromarty Central","S02002013","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.47,81.13,85.8,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Ross & Cromarty East","S02002014","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.19,83.34,87.05,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Muir of Ord","S02002015","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.12,80.88,85.35,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Conon","S02002016","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.47,78.8,84.15,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Dingwall","S02002017","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.24,79.18,83.31,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Black Isle South","S02002018","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.48,84.07,86.9,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Black Isle North","S02002019","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,86.18,84.51,87.86,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Alness","S02002020","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.98,80.28,83.68,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Invergordon","S02002021","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.97,76.41,81.53,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Seaboard","S02002022","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.6,81.13,86.07,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Tain","S02002023","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.16,76.84,83.49,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Sutherland South","S02002024","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.29,81.65,84.94,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Sutherland East","S02002025","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.41,78.69,84.13,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Caithness South","S02002026","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.54,83.54,87.55,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Wick South","S02002027","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.15,76.96,83.34,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Wick North","S02002028","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.61,79.69,83.52,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Caithness North East","S02002029","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.06,82,86.11,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Caithness North West","S02002030","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.42,83.86,86.99,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Thurso East","S02002031","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.3,77.74,84.85,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Thurso West","S02002032","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.8,77.29,82.32,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Sutherland North & West","S02002033","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.57,79.42,83.72,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kilmacolm Central","S02002034","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.17,79.57,88.77,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Kilmacolm, Quarriers, Greenock Upper East/Central","S02002035","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.16,80.47,85.86,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Inverkip & Wemyss Bay","S02002036","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,87.52,85.63,89.4,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","West Braeside, East Inverkip & West Gourock","S02002037","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,87.88,85.2,90.56,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Gourock Upper & West Central & Upper Larkfield","S02002038","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.69,80.47,84.91,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Gourock Central, Upper East & IRH","S02002039","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.37,79.43,83.31,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Braeside, Branchton, Lower Larkfield & Ravenscraig","S02002040","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,75.89,73.68,78.09,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lower Bow & Larkfield, Fancy Farm, Mallard Bowl","S02002041","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.05,75.81,80.29,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Gourock East, Greenock West & Lyle Road","S02002042","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.03,79.61,82.46,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Greenock West & Central","S02002043","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.49,76.93,82.05,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Bow Farm, Barrs Cottage, Cowdenknowes & Overton","S02002044","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.29,76.26,82.33,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Greenock Upper Central","S02002045","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,77.13,74.17,80.09,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Greenock Town Centre & East Central","S02002046","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,76.09,73.73,78.45,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Greenock East","S02002047","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.12,77.15,81.1,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Port Glasgow Upper, West & Central","S02002048","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.14,75.78,80.5,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Port Glasgow Mid, East & Central","S02002049","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,76.46,74.21,78.72,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Port Glasgow Upper East","S02002050","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.54,77,82.09,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Rural South Midlothian","S02002051","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,87.29,84.53,90.05,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Penicuik Southeast","S02002052","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.22,82.2,86.24,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Penicuik Southwest","S02002053","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,86.11,83.6,88.63,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Penicuik East","S02002054","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.41,79.33,85.5,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Penicuik North","S02002055","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.89,80.02,83.75,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Roslin & Bilston","S02002057","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.99,81.61,86.38,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Straiton","S02002058","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.83,75.32,82.34,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Loanhead","S02002059","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.62,78.62,82.62,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Bonnyrigg South","S02002060","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.13,78.17,82.08,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Bonnyrigg North","S02002061","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.35,76.19,80.5,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Newbattle & Dalhousie","S02002062","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.31,82.51,86.11,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Eskbank","S02002063","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.3,82.04,84.55,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Shawfair","S02002064","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.43,79.31,83.56,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Thornybank","S02002065","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,78.03,75.73,80.33,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Dalkeith","S02002066","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.24,76.15,82.33,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Pathhead & Rural East Midlothian","S02002067","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.4,82.48,86.33,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Easthouses","S02002068","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.6,80.18,85.02,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mayfield","S02002069","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.11,78.61,83.6,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Newtongrange","S02002070","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.24,78.63,83.85,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","North Gorebridge","S02002071","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.5,78,83.01,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Gorebridge & Middleton","S02002072","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.28,80.1,84.46,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","South Speyside & the Cabrach","S02002073","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.09,79.07,85.12,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","North Speyside","S02002074","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.75,81.09,84.41,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Rural Keith & Strathisla","S02002075","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.76,76.91,82.61,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Keith & Fife Keith","S02002076","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.81,79.36,84.27,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Cullen, Portknockie, Findochty, Drybridge & Berryhillock","S02002077","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.61,80.49,84.74,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Buckie Central East","S02002078","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.78,76.53,83.03,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Buckie West & Mains of Buckie","S02002079","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.51,78.12,82.9,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Mosstodloch, Portgordon & seaward","S02002080","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.88,83.02,86.74,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Fochabers, Aultmore, Clochan & Ordiquish","S02002081","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.46,79.27,85.64,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Heldon West, Fogwatt to Inchberry","S02002082","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,79.91,77.84,81.97,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lhanbryde, Urquhart, Pitgavney & seaward","S02002083","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.38,78.2,84.55,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Elgin Cathedral to Ashgrove & Pinefield","S02002084","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,77.28,75.09,79.47,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","New Elgin East","S02002085","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80,77.39,82.62,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","New Elgin West","S02002086","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.17,81.73,86.6,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Elgin Central West","S02002087","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.59,77.96,87.23,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Elgin Bishopmill East & Ladyhill","S02002088","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.38,79.3,85.46,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Elgin Bishopmill West & Newfield","S02002089","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.29,79.01,83.57,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lossiemouth East & Seatown","S02002090","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.55,80.76,86.34,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Lossiemouth West","S02002091","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.08,78.68,83.48,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Burghead, Roseisle & Laich","S02002092","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,86.42,84.6,88.23,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Findhorn, Kinloss & Pluscarden Valley","S02002093","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.84,83.59,88.09,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Forres Central East & seaward","S02002094","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,84.3,81.83,86.78,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Forres South West & Mannachie","S02002095","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,80.67,78.38,82.96,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Rafford, Dallas, Dyke to Dava","S02002096","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,81.26,78.64,83.89,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Arran","S02002097","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,85.03,83.63,86.43,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Springside & Rural","S02002098","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,83.2,80.13,86.28,"Years","Public Health Scotland/National Records of Scotland (NRS)"
"Life expectancy, females","Irvine Tarryholme","S02002099","Intermediate zone",2017,"2015 to 2019 (5 year aggregate)",NA,82.6,78.96,86.23,"Years","Public Health Scotland/National Records of Scotland (NRS)"
